#    L    TT             EE             BB             TE             PP             TP             EP          
   106   0.290044E+04   0.773479E+00   0.000000E+00  -0.257635E+02   0.839022E-07   0.336879E-03  -0.637611E-06
   107   0.293277E+04   0.786234E+00   0.000000E+00  -0.263895E+02   0.833203E-07   0.332807E-03  -0.667300E-06
   108   0.296547E+04   0.798815E+00   0.000000E+00  -0.270145E+02   0.827428E-07   0.328805E-03  -0.696126E-06
   109   0.299831E+04   0.811151E+00   0.000000E+00  -0.276369E+02   0.821698E-07   0.324870E-03  -0.723800E-06
   110   0.303123E+04   0.823242E+00   0.000000E+00  -0.282554E+02   0.816012E-07   0.320996E-03  -0.750030E-06
   111   0.306430E+04   0.835164E+00   0.000000E+00  -0.288717E+02   0.810371E-07   0.317181E-03  -0.774575E-06
   112   0.309751E+04   0.846843E+00   0.000000E+00  -0.294848E+02   0.804775E-07   0.313424E-03  -0.797389E-06
   113   0.313095E+04   0.858281E+00   0.000000E+00  -0.300934E+02   0.799224E-07   0.309724E-03  -0.818474E-06
   114   0.316446E+04   0.869401E+00   0.000000E+00  -0.306968E+02   0.793718E-07   0.306082E-03  -0.837834E-06
   115   0.319819E+04   0.880354E+00   0.000000E+00  -0.312948E+02   0.788256E-07   0.302496E-03  -0.855470E-06
   116   0.323192E+04   0.890917E+00   0.000000E+00  -0.318868E+02   0.782838E-07   0.298967E-03  -0.871386E-06
   117   0.326594E+04   0.901163E+00   0.000000E+00  -0.324719E+02   0.777465E-07   0.295493E-03  -0.885585E-06
   118   0.330011E+04   0.911243E+00   0.000000E+00  -0.330510E+02   0.772135E-07   0.292075E-03  -0.898067E-06
   119   0.333426E+04   0.921007E+00   0.000000E+00  -0.336219E+02   0.766849E-07   0.288713E-03  -0.908838E-06
   120   0.336856E+04   0.930308E+00   0.000000E+00  -0.341843E+02   0.761607E-07   0.285405E-03  -0.917897E-06
   121   0.340285E+04   0.939442E+00   0.000000E+00  -0.347385E+02   0.756409E-07   0.282151E-03  -0.925250E-06
   122   0.343721E+04   0.948112E+00   0.000000E+00  -0.352836E+02   0.751254E-07   0.278951E-03  -0.930897E-06
   123   0.347163E+04   0.956394E+00   0.000000E+00  -0.358197E+02   0.746142E-07   0.275806E-03  -0.934842E-06
   124   0.350611E+04   0.964361E+00   0.000000E+00  -0.363437E+02   0.741073E-07   0.272713E-03  -0.937087E-06
   125   0.354058E+04   0.971940E+00   0.000000E+00  -0.368579E+02   0.736047E-07   0.269673E-03  -0.937634E-06
   126   0.357511E+04   0.979205E+00   0.000000E+00  -0.373614E+02   0.731064E-07   0.266686E-03  -0.936486E-06
   127   0.360962E+04   0.986007E+00   0.000000E+00  -0.378537E+02   0.726124E-07   0.263752E-03  -0.933645E-06
