#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    81   0.214745E+04  -0.107724E+02   0.470299E-03  -0.107724E+02   0.428585E+00  -0.602110E-06   0.470299E-03  -0.602110E-06   0.996393E-07
    82   0.217510E+04  -0.113069E+02   0.463736E-03  -0.113069E+02   0.442142E+00  -0.550239E-06   0.463736E-03  -0.550239E-06   0.989615E-07
    83   0.220290E+04  -0.118503E+02   0.457281E-03  -0.118503E+02   0.455798E+00  -0.489396E-06   0.457281E-03  -0.489396E-06   0.982863E-07
    84   0.223097E+04  -0.124008E+02   0.450915E-03  -0.124008E+02   0.469548E+00  -0.427803E-06   0.450915E-03  -0.427803E-06   0.976140E-07
    85   0.225917E+04  -0.129596E+02   0.444619E-03  -0.129596E+02   0.483368E+00  -0.373676E-06   0.444619E-03  -0.373676E-06   0.969448E-07
    86   0.228761E+04  -0.135255E+02   0.438382E-03  -0.135255E+02   0.497268E+00  -0.333481E-06   0.438382E-03  -0.333481E-06   0.962788E-07
    87   0.231649E+04  -0.140977E+02   0.432214E-03  -0.140977E+02   0.511222E+00  -0.306654E-06   0.432214E-03  -0.306654E-06   0.956163E-07
    88   0.234537E+04  -0.146763E+02   0.426132E-03  -0.146763E+02   0.525248E+00  -0.290878E-06   0.426132E-03  -0.290878E-06   0.949573E-07
    89   0.237461E+04  -0.152625E+02   0.420153E-03  -0.152625E+02   0.539333E+00  -0.283835E-06   0.420153E-03  -0.283835E-06   0.943019E-07
    90   0.240403E+04  -0.158536E+02   0.414295E-03  -0.158536E+02   0.553444E+00  -0.283207E-06   0.414295E-03  -0.283207E-06   0.936502E-07
    91   0.243357E+04  -0.164500E+02   0.408570E-03  -0.164500E+02   0.567577E+00  -0.287014E-06   0.408570E-03  -0.287014E-06   0.930023E-07
    92   0.246338E+04  -0.170513E+02   0.402978E-03  -0.170513E+02   0.581718E+00  -0.294627E-06   0.402978E-03  -0.294627E-06   0.923582E-07
    93   0.249344E+04  -0.176575E+02   0.397515E-03  -0.176575E+02   0.595862E+00  -0.305754E-06   0.397515E-03  -0.305754E-06   0.917179E-07
    94   0.252355E+04  -0.182672E+02   0.392178E-03  -0.182672E+02   0.609973E+00  -0.320104E-06   0.392178E-03  -0.320104E-06   0.910816E-07
    95   0.255392E+04  -0.188812E+02   0.386962E-03  -0.188812E+02   0.624053E+00  -0.337384E-06   0.386962E-03  -0.337384E-06   0.904492E-07
    96   0.258427E+04  -0.194989E+02   0.381863E-03  -0.194989E+02   0.638088E+00  -0.357304E-06   0.381863E-03  -0.357304E-06   0.898207E-07
    97   0.261504E+04  -0.201197E+02   0.376878E-03  -0.201197E+02   0.652066E+00  -0.379571E-06   0.376878E-03  -0.379571E-06   0.891963E-07
    98   0.264600E+04  -0.207413E+02   0.372002E-03  -0.207413E+02   0.665980E+00  -0.403894E-06   0.372002E-03  -0.403894E-06   0.885759E-07
    99   0.267702E+04  -0.213670E+02   0.367232E-03  -0.213670E+02   0.679795E+00  -0.429981E-06   0.367232E-03  -0.429981E-06   0.879595E-07
   100   0.270831E+04  -0.219923E+02   0.362563E-03  -0.219923E+02   0.693512E+00  -0.457541E-06   0.362563E-03  -0.457541E-06   0.873473E-07
   101   0.273974E+04  -0.226202E+02   0.357992E-03  -0.226202E+02   0.707194E+00  -0.486282E-06   0.357992E-03  -0.486282E-06   0.867392E-07
   102   0.277167E+04  -0.232487E+02   0.353514E-03  -0.232487E+02   0.720692E+00  -0.515912E-06   0.353514E-03  -0.515912E-06   0.861354E-07
   103   0.280351E+04  -0.238786E+02   0.349127E-03  -0.238786E+02   0.734083E+00  -0.546139E-06   0.349127E-03  -0.546139E-06   0.855357E-07
   104   0.283556E+04  -0.245070E+02   0.344825E-03  -0.245070E+02   0.747368E+00  -0.576673E-06   0.344825E-03  -0.576673E-06   0.849403E-07
   105   0.286775E+04  -0.251355E+02   0.340605E-03  -0.251355E+02   0.760474E+00  -0.607221E-06   0.340605E-03  -0.607221E-06   0.843492E-07
   106   0.290015E+04  -0.257635E+02   0.336462E-03  -0.257635E+02   0.773479E+00  -0.637492E-06   0.336462E-03  -0.637492E-06   0.837624E-07
   107   0.293247E+04  -0.263895E+02   0.332394E-03  -0.263895E+02   0.786234E+00  -0.667194E-06   0.332394E-03  -0.667194E-06   0.831799E-07
   108   0.296516E+04  -0.270144E+02   0.328396E-03  -0.270144E+02   0.798815E+00  -0.696035E-06   0.328396E-03  -0.696035E-06   0.826019E-07
   109   0.299800E+04  -0.276368E+02   0.324463E-03  -0.276368E+02   0.811151E+00  -0.723724E-06   0.324463E-03  -0.723724E-06   0.820283E-07
   110   0.303091E+04  -0.282554E+02   0.320593E-03  -0.282554E+02   0.823242E+00  -0.749969E-06   0.320593E-03  -0.749969E-06   0.814592E-07
   111   0.306397E+04  -0.288716E+02   0.316782E-03  -0.288716E+02   0.835164E+00  -0.774528E-06   0.316782E-03  -0.774528E-06   0.808946E-07
   112   0.309717E+04  -0.294847E+02   0.313028E-03  -0.294847E+02   0.846843E+00  -0.797353E-06   0.313028E-03  -0.797353E-06   0.803344E-07
   113   0.313060E+04  -0.300934E+02   0.309332E-03  -0.300934E+02   0.858280E+00  -0.818449E-06   0.309332E-03  -0.818449E-06   0.797788E-07
   114   0.316411E+04  -0.306967E+02   0.305692E-03  -0.306967E+02   0.869401E+00  -0.837818E-06   0.305692E-03  -0.837818E-06   0.792276E-07
   115   0.319783E+04  -0.312947E+02   0.302110E-03  -0.312947E+02   0.880354E+00  -0.855461E-06   0.302110E-03  -0.855461E-06   0.786809E-07
   116   0.323155E+04  -0.318867E+02   0.298583E-03  -0.318867E+02   0.890917E+00  -0.871383E-06   0.298583E-03  -0.871383E-06   0.781386E-07
   117   0.326556E+04  -0.324718E+02   0.295113E-03  -0.324718E+02   0.901163E+00  -0.885586E-06   0.295113E-03  -0.885586E-06   0.776008E-07
   118   0.329972E+04  -0.330509E+02   0.291698E-03  -0.330509E+02   0.911243E+00  -0.898072E-06   0.291698E-03  -0.898072E-06   0.770673E-07
   119   0.333387E+04  -0.336217E+02   0.288338E-03  -0.336217E+02   0.921007E+00  -0.908844E-06   0.288338E-03  -0.908844E-06   0.765383E-07
   120   0.336816E+04  -0.341842E+02   0.285034E-03  -0.341842E+02   0.930308E+00  -0.917905E-06   0.285034E-03  -0.917905E-06   0.760136E-07
   121   0.340245E+04  -0.347384E+02   0.281783E-03  -0.347384E+02   0.939441E+00  -0.925258E-06   0.281783E-03  -0.925258E-06   0.754933E-07
   122   0.343679E+04  -0.352835E+02   0.278587E-03  -0.352835E+02   0.948112E+00  -0.930905E-06   0.278587E-03  -0.930905E-06   0.749774E-07
