#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   113   0.306251E+04  -0.307533E+02   0.331679E-03  -0.307533E+02   0.896852E+00  -0.523219E-06   0.331679E-03  -0.523219E-06   0.861369E-07
   114   0.309554E+04  -0.313522E+02   0.327937E-03  -0.313522E+02   0.907615E+00  -0.523318E-06   0.327937E-03  -0.523318E-06   0.855672E-07
   115   0.312880E+04  -0.319444E+02   0.324251E-03  -0.319444E+02   0.918166E+00  -0.527838E-06   0.324251E-03  -0.527838E-06   0.850020E-07
   116   0.316205E+04  -0.325292E+02   0.320620E-03  -0.325292E+02   0.928281E+00  -0.536316E-06   0.320620E-03  -0.536316E-06   0.844411E-07
   117   0.319559E+04  -0.331057E+02   0.317044E-03  -0.331057E+02   0.938037E+00  -0.548291E-06   0.317044E-03  -0.548291E-06   0.838845E-07
   118   0.322926E+04  -0.336747E+02   0.313522E-03  -0.336747E+02   0.947581E+00  -0.563301E-06   0.313522E-03  -0.563301E-06   0.833323E-07
   119   0.326293E+04  -0.342339E+02   0.310052E-03  -0.342339E+02   0.956766E+00  -0.580885E-06   0.310052E-03  -0.580885E-06   0.827844E-07
   120   0.329674E+04  -0.347833E+02   0.306635E-03  -0.347833E+02   0.965442E+00  -0.600580E-06   0.306635E-03  -0.600580E-06   0.822409E-07
   121   0.333053E+04  -0.353230E+02   0.303270E-03  -0.353230E+02   0.973909E+00  -0.621926E-06   0.303270E-03  -0.621926E-06   0.817017E-07
   122   0.336439E+04  -0.358520E+02   0.299956E-03  -0.358520E+02   0.981868E+00  -0.644461E-06   0.299956E-03  -0.644461E-06   0.811668E-07
   123   0.339830E+04  -0.363705E+02   0.296693E-03  -0.363705E+02   0.989394E+00  -0.667723E-06   0.296693E-03  -0.667723E-06   0.806362E-07
   124   0.343228E+04  -0.368754E+02   0.293479E-03  -0.368754E+02   0.996562E+00  -0.691250E-06   0.293479E-03  -0.691250E-06   0.801099E-07
   125   0.346623E+04  -0.373689E+02   0.290314E-03  -0.373689E+02   0.100330E+01  -0.714581E-06   0.290314E-03  -0.714581E-06   0.795878E-07
