#    L    TT             EE             TE             PP             TP          
   170   0.499579E+04   0.894724E+00  -0.419507E+02   0.253135E+07   0.295021E+04
   171   0.502322E+04   0.885433E+00  -0.415444E+02   0.251615E+07   0.292420E+04
   172   0.505031E+04   0.875948E+00  -0.411126E+02   0.250109E+07   0.289842E+04
   173   0.507698E+04   0.866264E+00  -0.406555E+02   0.248616E+07   0.287287E+04
   174   0.510339E+04   0.856676E+00  -0.401729E+02   0.247137E+07   0.284754E+04
   175   0.512947E+04   0.846883E+00  -0.396642E+02   0.245671E+07   0.282240E+04
   176   0.515506E+04   0.837104E+00  -0.391292E+02   0.244218E+07   0.279747E+04
   177   0.518032E+04   0.827259E+00  -0.385694E+02   0.242778E+07   0.277273E+04
   178   0.520516E+04   0.817566E+00  -0.379832E+02   0.241351E+07   0.274818E+04
   179   0.522960E+04   0.807723E+00  -0.373705E+02   0.239936E+07   0.272383E+04
   180   0.525378E+04   0.797948E+00  -0.367328E+02   0.238534E+07   0.269968E+04
   181   0.527747E+04   0.788236E+00  -0.360700E+02   0.237145E+07   0.267573E+04
   182   0.530076E+04   0.778655E+00  -0.353804E+02   0.235768E+07   0.265198E+04
   183   0.532357E+04   0.769126E+00  -0.346656E+02   0.234404E+07   0.262842E+04
   184   0.534605E+04   0.759719E+00  -0.339246E+02   0.233051E+07   0.260507E+04
   185   0.536812E+04   0.750576E+00  -0.331597E+02   0.231711E+07   0.258192E+04
   186   0.538942E+04   0.741551E+00  -0.323678E+02   0.230382E+07   0.255897E+04
   187   0.541061E+04   0.732780E+00  -0.315502E+02   0.229065E+07   0.253622E+04
   188   0.543132E+04   0.724244E+00  -0.307085E+02   0.227760E+07   0.251367E+04
   189   0.545148E+04   0.715974E+00  -0.298410E+02   0.226466E+07   0.249133E+04
   190   0.547153E+04   0.708017E+00  -0.289498E+02   0.225183E+07   0.246919E+04
   191   0.549074E+04   0.700390E+00  -0.280320E+02   0.223912E+07   0.244725E+04
   192   0.550961E+04   0.693110E+00  -0.270897E+02   0.222651E+07   0.242552E+04
   193   0.552794E+04   0.686217E+00  -0.261243E+02   0.221402E+07   0.240400E+04
   194   0.554594E+04   0.679735E+00  -0.251334E+02   0.220163E+07   0.238269E+04
   195   0.556340E+04   0.673696E+00  -0.241193E+02   0.218935E+07   0.236158E+04
   196   0.558030E+04   0.668132E+00  -0.230810E+02   0.217718E+07   0.234068E+04
   197   0.559681E+04   0.663083E+00  -0.220201E+02   0.216511E+07   0.231999E+04
   198   0.561284E+04   0.658565E+00  -0.209357E+02   0.215314E+07   0.229951E+04
   199   0.562840E+04   0.654610E+00  -0.198285E+02   0.214128E+07   0.227923E+04
   200   0.564349E+04   0.651244E+00  -0.186990E+02   0.212951E+07   0.225917E+04
   201   0.565803E+04   0.648521E+00  -0.175466E+02   0.211785E+07   0.223933E+04
   202   0.567210E+04   0.646448E+00  -0.163725E+02   0.210628E+07   0.221969E+04
   203   0.568562E+04   0.645084E+00  -0.151760E+02   0.209481E+07   0.220025E+04
   204   0.569852E+04   0.644453E+00  -0.139600E+02   0.208343E+07   0.218103E+04
   205   0.571094E+04   0.644599E+00  -0.127221E+02   0.207215E+07   0.216200E+04
   206   0.572273E+04   0.645559E+00  -0.114636E+02   0.206097E+07   0.214318E+04
   207   0.573404E+04   0.647356E+00  -0.101847E+02   0.204988E+07   0.212455E+04
   208   0.574465E+04   0.650042E+00  -0.888596E+01   0.203888E+07   0.210612E+04
   209   0.575470E+04   0.653640E+00  -0.756761E+01   0.202798E+07   0.208788E+04
   210   0.576419E+04   0.658202E+00  -0.623048E+01   0.201716E+07   0.206984E+04
   211   0.577312E+04   0.663758E+00  -0.487453E+01   0.200644E+07   0.205198E+04
   212   0.578134E+04   0.670338E+00  -0.350061E+01   0.199581E+07   0.203431E+04
   213   0.578908E+04   0.677986E+00  -0.210861E+01   0.198526E+07   0.201683E+04
   214   0.579617E+04   0.686696E+00  -0.699632E+00   0.197481E+07   0.199952E+04
   215   0.580270E+04   0.696661E+00   0.725660E+00   0.196444E+07   0.198240E+04
   216   0.580859E+04   0.707696E+00   0.216787E+01   0.195415E+07   0.196546E+04
   217   0.581398E+04   0.719956E+00   0.362508E+01   0.194396E+07   0.194869E+04
