#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    87   0.226237E+04  -0.145210E+02   0.573399E-03  -0.145210E+02   0.545099E+00  -0.696250E-06   0.573399E-03  -0.696250E-06   0.102297E-06
    88   0.229067E+04  -0.151154E+02   0.566793E-03  -0.151154E+02   0.559706E+00  -0.762875E-06   0.566793E-03  -0.762875E-06   0.101624E-06
    89   0.231933E+04  -0.157171E+02   0.560355E-03  -0.157171E+02   0.574351E+00  -0.826858E-06   0.560355E-03  -0.826858E-06   0.100955E-06
    90   0.234820E+04  -0.163234E+02   0.554065E-03  -0.163234E+02   0.588998E+00  -0.882920E-06   0.554065E-03  -0.882920E-06   0.100289E-06
    91   0.237719E+04  -0.169350E+02   0.547910E-03  -0.169350E+02   0.603640E+00  -0.926825E-06   0.547910E-03  -0.926825E-06   0.996259E-07
    92   0.240646E+04  -0.175512E+02   0.541883E-03  -0.175512E+02   0.618262E+00  -0.958506E-06   0.541883E-03  -0.958506E-06   0.989668E-07
    93   0.243600E+04  -0.181721E+02   0.535979E-03  -0.181721E+02   0.632858E+00  -0.978934E-06   0.535979E-03  -0.978934E-06   0.983112E-07
    94   0.246560E+04  -0.187962E+02   0.530195E-03  -0.187962E+02   0.647391E+00  -0.989084E-06   0.530195E-03  -0.989084E-06   0.976592E-07
    95   0.249548E+04  -0.194243E+02   0.524526E-03  -0.194243E+02   0.661862E+00  -0.989928E-06   0.524526E-03  -0.989928E-06   0.970109E-07
    96   0.252534E+04  -0.200556E+02   0.518968E-03  -0.200556E+02   0.676257E+00  -0.982440E-06   0.518968E-03  -0.982440E-06   0.963663E-07
    97   0.255563E+04  -0.206895E+02   0.513517E-03  -0.206895E+02   0.690561E+00  -0.967592E-06   0.513517E-03  -0.967592E-06   0.957255E-07
    98   0.258612E+04  -0.213237E+02   0.508169E-03  -0.213237E+02   0.704769E+00  -0.946359E-06   0.508169E-03  -0.946359E-06   0.950885E-07
    99   0.261668E+04  -0.219613E+02   0.502919E-03  -0.219613E+02   0.718843E+00  -0.919713E-06   0.502919E-03  -0.919713E-06   0.944553E-07
   100   0.264752E+04  -0.225979E+02   0.497764E-03  -0.225979E+02   0.732785E+00  -0.888628E-06   0.497764E-03  -0.888628E-06   0.938260E-07
   101   0.267849E+04  -0.232363E+02   0.492698E-03  -0.232363E+02   0.746654E+00  -0.854077E-06   0.492698E-03  -0.854077E-06   0.932006E-07
   102   0.270998E+04  -0.238746E+02   0.487719E-03  -0.238746E+02   0.760303E+00  -0.817032E-06   0.487719E-03  -0.817032E-06   0.925793E-07
   103   0.274138E+04  -0.245133E+02   0.482821E-03  -0.245133E+02   0.773806E+00  -0.778468E-06   0.482821E-03  -0.778468E-06   0.919619E-07
   104   0.277300E+04  -0.251496E+02   0.478002E-03  -0.251496E+02   0.787165E+00  -0.739358E-06   0.478002E-03  -0.739358E-06   0.913487E-07
   105   0.280476E+04  -0.257851E+02   0.473255E-03  -0.257851E+02   0.800306E+00  -0.700674E-06   0.473255E-03  -0.700674E-06   0.907396E-07
   106   0.283673E+04  -0.264189E+02   0.468578E-03  -0.264189E+02   0.813304E+00  -0.663390E-06   0.468578E-03  -0.663390E-06   0.901346E-07
