#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    89   0.237465E+04  -0.152635E+02   0.419918E-03  -0.152635E+02   0.539333E+00  -0.279490E-06   0.419918E-03  -0.279490E-06   0.943024E-07
    90   0.240406E+04  -0.158545E+02   0.414058E-03  -0.158545E+02   0.553444E+00  -0.278587E-06   0.414058E-03  -0.278587E-06   0.936506E-07
    91   0.243358E+04  -0.164509E+02   0.408331E-03  -0.164509E+02   0.567577E+00  -0.282147E-06   0.408331E-03  -0.282147E-06   0.930026E-07
    92   0.246335E+04  -0.170521E+02   0.402737E-03  -0.170521E+02   0.581718E+00  -0.289545E-06   0.402737E-03  -0.289545E-06   0.923584E-07
    93   0.249339E+04  -0.176582E+02   0.397273E-03  -0.176582E+02   0.595862E+00  -0.300486E-06   0.397273E-03  -0.300486E-06   0.917181E-07
    94   0.252347E+04  -0.182678E+02   0.391934E-03  -0.182678E+02   0.609973E+00  -0.314676E-06   0.391934E-03  -0.314676E-06   0.910817E-07
    95   0.255381E+04  -0.188817E+02   0.386716E-03  -0.188817E+02   0.624053E+00  -0.331823E-06   0.386716E-03  -0.331823E-06   0.904492E-07
    96   0.258413E+04  -0.194994E+02   0.381616E-03  -0.194994E+02   0.638088E+00  -0.351633E-06   0.381616E-03  -0.351633E-06   0.898206E-07
    97   0.261486E+04  -0.201200E+02   0.376629E-03  -0.201200E+02   0.652065E+00  -0.373812E-06   0.376629E-03  -0.373812E-06   0.891961E-07
    98   0.264579E+04  -0.207415E+02   0.371752E-03  -0.207415E+02   0.665979E+00  -0.398066E-06   0.371752E-03  -0.398066E-06   0.885756E-07
    99   0.267678E+04  -0.213671E+02   0.366980E-03  -0.213671E+02   0.679794E+00  -0.424102E-06   0.366980E-03  -0.424102E-06   0.879592E-07
   100   0.270804E+04  -0.219922E+02   0.362310E-03  -0.219922E+02   0.693512E+00  -0.451627E-06   0.362310E-03  -0.451627E-06   0.873469E-07
   101   0.273944E+04  -0.226200E+02   0.357737E-03  -0.226200E+02   0.707193E+00  -0.480347E-06   0.357737E-03  -0.480347E-06   0.867387E-07
   102   0.277134E+04  -0.232484E+02   0.353259E-03  -0.232484E+02   0.720692E+00  -0.509969E-06   0.353259E-03  -0.509969E-06   0.861348E-07
   103   0.280316E+04  -0.238781E+02   0.348869E-03  -0.238781E+02   0.734082E+00  -0.540198E-06   0.348869E-03  -0.540198E-06   0.855350E-07
   104   0.283518E+04  -0.245064E+02   0.344566E-03  -0.245064E+02   0.747367E+00  -0.570742E-06   0.344566E-03  -0.570742E-06   0.849395E-07
