#           k/h    P           
   0.860415E+00   0.704896E+02
   0.877797E+00   0.673226E+02
   0.895529E+00   0.642905E+02
   0.913620E+00   0.613881E+02
   0.932076E+00   0.586105E+02
   0.950906E+00   0.559528E+02
   0.970115E+00   0.534101E+02
   0.989713E+00   0.509781E+02
   0.100971E+01   0.486522E+02
   0.103010E+01   0.464282E+02
   0.105091E+01   0.443020E+02
   0.107214E+01   0.422696E+02
   0.109380E+01   0.403271E+02
   0.111590E+01   0.384710E+02
   0.113844E+01   0.366975E+02
   0.116144E+01   0.350033E+02
   0.118490E+01   0.333851E+02
   0.120884E+01   0.318396E+02
   0.123326E+01   0.303638E+02
   0.125817E+01   0.289545E+02
   0.128359E+01   0.276088E+02
   0.130952E+01   0.263240E+02
   0.133597E+01   0.250972E+02
   0.136296E+01   0.239260E+02
   0.139049E+01   0.228079E+02
   0.141858E+01   0.217405E+02
   0.144724E+01   0.207215E+02
   0.147648E+01   0.197489E+02
   0.150630E+01   0.188206E+02
   0.153673E+01   0.179345E+02
   0.156778E+01   0.170888E+02
   0.159945E+01   0.162818E+02
   0.163176E+01   0.155117E+02
   0.166472E+01   0.147768E+02
   0.169835E+01   0.140756E+02
   0.173266E+01   0.134066E+02
   0.176766E+01   0.127685E+02
   0.180337E+01   0.121599E+02
   0.183980E+01   0.115796E+02
   0.187697E+01   0.110264E+02
   0.191489E+01   0.104990E+02
   0.195357E+01   0.999636E+01
   0.199304E+01   0.951737E+01
   0.203330E+01   0.906097E+01
   0.207437E+01   0.862617E+01
   0.211628E+01   0.821199E+01
   0.215903E+01   0.781750E+01
   0.220265E+01   0.744182E+01
   0.224714E+01   0.708410E+01
   0.229254E+01   0.674350E+01
   0.233885E+01   0.641924E+01
